activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,75844,[],CHEMBL871936,Antagonism of cocaine''s inhibition of [3H]DA uptake at the dose of 50 nM,F,,,BAO_0000190,BAO_0000019,assay format,COC(=O)[C@@H]1C2CCC(C[C@@H]1C(=O)Oc1ccccc1)N2C.Cc1ccc(C(=O)C2CN(C)CCC2(O)c2ccc(C)cc2)cc1,,,CHEMBL1133575,J. Med. Chem.,2000.0,,CHEMBL120633,,CHEMBL120633,6.33,0,http://www.openphacts.org/units/Nanomolar,227611,=,1,1,=,,IC50,nM,,470.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,470.0
,75845,[],CHEMBL674122,Antagonism of cocaine''s inhibition of [3H]DA uptake at the dose of 200 nM,F,,,BAO_0000190,BAO_0000019,assay format,COC(=O)[C@@H]1C2CCC(C[C@@H]1C(=O)Oc1ccccc1)N2C.Cc1ccc(C(=O)C2CN(C)CCC2(O)c2ccc(C)cc2)cc1,,,CHEMBL1133575,J. Med. Chem.,2000.0,,CHEMBL120633,,CHEMBL120633,6.14,0,http://www.openphacts.org/units/Nanomolar,227611,=,1,1,=,,IC50,nM,,717.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,717.0
,75846,[],CHEMBL674123,Antagonism of cocaine''s inhibition of [3H]DA uptake at the dose of 500 nM,F,,,BAO_0000190,BAO_0000019,assay format,COC(=O)[C@@H]1C2CCC(C[C@@H]1C(=O)Oc1ccccc1)N2C.Cc1ccc(C(=O)C2CN(C)CCC2(O)c2ccc(C)cc2)cc1,,,CHEMBL1133575,J. Med. Chem.,2000.0,,CHEMBL120633,,CHEMBL120633,5.93,0,http://www.openphacts.org/units/Nanomolar,227611,=,1,1,=,,IC50,nM,,1161.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,1161.0
,80387,[],CHEMBL674894,Binding Affinity to cocaine site of dopamine transporter in caudate nuclei which was homogenized and incubated with [3H]mazindol. ,B,,,BAO_0000192,BAO_0000019,assay format,CN1CCC(O)(c2ccc(Cl)c(Cl)c2)C([C@@H](O)c2ccc(Cl)c(Cl)c2)C1,,,CHEMBL1133575,J. Med. Chem.,2000.0,"{'bei': '12.37', 'le': '0.28', 'lle': '0.21', 'sei': '12.32'}",CHEMBL333280,,CHEMBL333280,5.38,0,http://www.openphacts.org/units/Nanomolar,227607,=,1,1,=,,Ki,nM,,4140.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,4140.0
,93636,[],CHEMBL674894,Binding Affinity to cocaine site of dopamine transporter in caudate nuclei which was homogenized and incubated with [3H]mazindol. ,B,,,BAO_0000192,BAO_0000019,assay format,CN1CCC(O)(c2ccc(Cl)c(Cl)c2)C(C(=O)c2ccc(Cl)c(Cl)c2)C1,,,CHEMBL1133575,J. Med. Chem.,2000.0,"{'bei': '18.38', 'le': '0.42', 'lle': '2.64', 'sei': '19.64'}",CHEMBL120490,,CHEMBL120490,7.96,0,http://www.openphacts.org/units/Nanomolar,227605,=,1,1,=,,Ki,nM,,10.9,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,10.9
,94547,[],CHEMBL674894,Binding Affinity to cocaine site of dopamine transporter in caudate nuclei which was homogenized and incubated with [3H]mazindol. ,B,,,BAO_0000192,BAO_0000019,assay format,Cc1ccc(C2OC(=O)OC3(c4ccc(C)cc4)CCN(C)CC23)cc1,,,CHEMBL1133575,J. Med. Chem.,2000.0,"{'bei': '14.47', 'le': '0.27', 'lle': '0.73', 'sei': '13.12'}",CHEMBL120269,,CHEMBL120269,5.09,0,http://www.openphacts.org/units/Nanomolar,227608,=,1,1,=,,Ki,nM,,8190.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,8190.0
,95547,[],CHEMBL674893,Binding Affinity to Dopamine transporter in caudate nuclei which was homogenized and incubated with [3H]mazindol. ,B,,,BAO_0000192,BAO_0000019,assay format,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,,,CHEMBL1133575,J. Med. Chem.,2000.0,"{'bei': '21.88', 'le': '0.41', 'lle': '4.77', 'sei': '11.88'}",CHEMBL370805,COCAINE,CHEMBL370805,6.64,1,http://www.openphacts.org/units/Nanomolar,227603,=,1,1,=,,Ki,nM,,231.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,231.0
,95551,[],CHEMBL674894,Binding Affinity to cocaine site of dopamine transporter in caudate nuclei which was homogenized and incubated with [3H]mazindol. ,B,,,BAO_0000192,BAO_0000019,assay format,Cc1ccc([C@H](O)C2CN(C)CCC2(O)c2ccc(C)cc2)cc1,,,CHEMBL1133575,J. Med. Chem.,2000.0,"{'bei': '15.28', 'le': '0.28', 'lle': '1.79', 'sei': '11.38'}",CHEMBL333476,,CHEMBL333476,4.97,0,http://www.openphacts.org/units/Nanomolar,227613,=,1,1,=,,Ki,nM,,10650.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,10650.0
,98682,[],CHEMBL674895,Binding Affinity to cocaine site of dopamine transporter in caudate nuclei which was homogenized and incubated with [3H]mazindol.,B,,,BAO_0000192,BAO_0000019,assay format,CN1CCC(O)(c2ccc(F)cc2)C(C(=O)c2ccc(F)cc2)C1,,,CHEMBL1133575,J. Med. Chem.,2000.0,"{'bei': '15.83', 'le': '0.30', 'lle': '2.25', 'sei': '12.94'}",CHEMBL120951,FLAZALONE,CHEMBL120951,5.24,0,http://www.openphacts.org/units/Nanomolar,227604,=,1,1,=,,Ki,nM,,5700.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,5700.0
,98686,[],CHEMBL674894,Binding Affinity to cocaine site of dopamine transporter in caudate nuclei which was homogenized and incubated with [3H]mazindol. ,B,,,BAO_0000192,BAO_0000019,assay format,CN1CCC(O)(c2ccc(Cl)cc2Cl)C([C@@H](O)c2ccc(Cl)cc2Cl)C1,,,CHEMBL1133575,J. Med. Chem.,2000.0,"{'bei': '12.32', 'le': '0.28', 'lle': '0.19', 'sei': '12.27'}",CHEMBL118794,,CHEMBL118794,5.36,0,http://www.openphacts.org/units/Nanomolar,227612,=,1,1,=,,Ki,nM,,4350.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,4350.0
,103591,[],CHEMBL674894,Binding Affinity to cocaine site of dopamine transporter in caudate nuclei which was homogenized and incubated with [3H]mazindol. ,B,,,BAO_0000192,BAO_0000019,assay format,CN1CCC(O)(c2ccc(Cl)cc2Cl)C(C(=O)c2ccc(Cl)cc2Cl)C1,,,CHEMBL1133575,J. Med. Chem.,2000.0,"{'bei': '12.55', 'le': '0.29', 'lle': '0.12', 'sei': '13.41'}",CHEMBL331334,,CHEMBL331334,5.44,0,http://www.openphacts.org/units/Nanomolar,227606,=,1,1,=,,Ki,nM,,3650.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,3650.0
,105827,[],CHEMBL674125,Binding affinity towards dopamine transporter (DAT) by using [3H]WIN-35428 as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,C/C=C\c1ccc([C@H]2CC3CCC([C@H]2C(=O)OC)N3C)cc1,,,CHEMBL1136726,J. Med. Chem.,2003.0,"{'bei': '25.03', 'le': '0.47', 'lle': '4.03', 'sei': '25.37'}",CHEMBL435341,,CHEMBL435341,7.50,0,http://www.openphacts.org/units/Nanomolar,342397,=,1,1,=,,IC50,nM,,32.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,32.0
,106983,[],CHEMBL670046,In vitro competitive binding versus [N-methyl-3H]WIN-35428 in murine kidney cells transfected with cDNA for human dopamine transporter (DAT),B,,,BAO_0000192,BAO_0000219,cell-based format,COC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c1ccc(I)cc1)N2C,,,CHEMBL1136726,J. Med. Chem.,2003.0,"{'bei': '24.19', 'le': '0.64', 'lle': '6.29', 'sei': '31.55'}",CHEMBL311347,,CHEMBL311347,9.32,1,http://www.openphacts.org/units/Nanomolar,342388,=,1,1,=,,Ki,nM,,0.48,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,0.48
,110599,[],CHEMBL670046,In vitro competitive binding versus [N-methyl-3H]WIN-35428 in murine kidney cells transfected with cDNA for human dopamine transporter (DAT),B,,,BAO_0000192,BAO_0000219,cell-based format,COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(/C=C\I)cc1)N2,,,CHEMBL1136726,J. Med. Chem.,2003.0,"{'bei': '21.30', 'le': '0.55', 'lle': '4.97', 'sei': '22.07'}",CHEMBL174088,,CHEMBL174088,8.46,0,http://www.openphacts.org/units/Nanomolar,342389,=,1,1,=,,Ki,nM,,3.47,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,3.47
,110726,[],CHEMBL670050,In vitro competitive binding versus [N-methyl-3H]WIN-35428 in murine kidney cells transfected with cDNA for human dopamine transporter (DAT),B,,,BAO_0000192,BAO_0000219,cell-based format,CNCCCN1c2ccccc2CCc2ccccc21,,,CHEMBL1136726,J. Med. Chem.,2003.0,"{'bei': '34.95', 'le': '0.64', 'lle': '5.78', 'sei': '60.97'}",CHEMBL72,DESIPRAMINE,CHEMBL72,9.31,0,http://www.openphacts.org/units/Nanomolar,342392,=,1,1,=,,Ki,nM,,0.49,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,0.49
,118474,[],CHEMBL879871,In vitro binding affinity on cloned Dopamine transporter,B,,,BAO_0000192,BAO_0000357,single protein format,CN(C)Cc1ccccc1Sc1ccc(C#N)cc1N,,,CHEMBL1133614,J. Med. Chem.,2000.0,"{'bei': '20.63', 'le': '0.40', 'lle': '2.50', 'sei': '11.02'}",CHEMBL106939,DASB,CHEMBL106939,5.85,0,http://www.openphacts.org/units/Nanomolar,197396,=,1,1,=,,Ki,nM,,1423.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,1423.0
,118577,[],CHEMBL670050,In vitro competitive binding versus [N-methyl-3H]WIN-35428 in murine kidney cells transfected with cDNA for human dopamine transporter (DAT),B,,,BAO_0000192,BAO_0000219,cell-based format,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,,,CHEMBL1136726,J. Med. Chem.,2003.0,"{'bei': '27.76', 'le': '0.55', 'lle': '5.64', 'sei': '15.54'}",CHEMBL814,FLUVOXAMINE,CHEMBL814,8.84,0,http://www.openphacts.org/units/Nanomolar,342393,=,1,1,=,,Ki,nM,,1.46,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,1.46
,118578,[],CHEMBL670050,In vitro competitive binding versus [N-methyl-3H]WIN-35428 in murine kidney cells transfected with cDNA for human dopamine transporter (DAT),B,,,BAO_0000192,BAO_0000219,cell-based format,CNCCC(Oc1ccccc1OC)c1ccccc1,,,CHEMBL1136726,J. Med. Chem.,2003.0,"{'bei': '27.72', 'le': '0.51', 'lle': '4.10', 'sei': '24.67'}",CHEMBL295467,NISOXETINE,CHEMBL295467,7.52,0,http://www.openphacts.org/units/Nanomolar,342395,=,1,1,=,,Ki,nM,,30.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,30.0
,123443,[],CHEMBL670050,In vitro competitive binding versus [N-methyl-3H]WIN-35428 in murine kidney cells transfected with cDNA for human dopamine transporter (DAT),B,,,BAO_0000192,BAO_0000219,cell-based format,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,,,CHEMBL1136726,J. Med. Chem.,2003.0,"{'bei': '23.04', 'le': '0.43', 'lle': '4.03', 'sei': '18.18'}",CHEMBL14370,REBOXETINE,CHEMBL14370,7.22,0,http://www.openphacts.org/units/Nanomolar,342391,=,1,1,=,,Ki,nM,,60.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,60.0
,127428,[],CHEMBL879871,In vitro binding affinity on cloned Dopamine transporter,B,,,BAO_0000192,BAO_0000357,single protein format,CN(C)Cc1ccccc1Sc1ccc(C(F)(F)F)cc1N,,,CHEMBL1133614,J. Med. Chem.,2000.0,"{'bei': '17.44', 'le': '0.35', 'lle': '1.19', 'sei': '19.45'}",CHEMBL104673,,CHEMBL104673,5.69,0,http://www.openphacts.org/units/Nanomolar,197395,=,1,1,=,,Ki,nM,,2038.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,2038.0
,128408,[],CHEMBL879871,In vitro binding affinity on cloned Dopamine transporter,B,,,BAO_0000192,BAO_0000357,single protein format,COc1ccc(Sc2ccccc2CN(C)C)c(N)c1,,,CHEMBL1133614,J. Med. Chem.,2000.0,"{'bei': '19.33', 'le': '0.38', 'lle': '2.09', 'sei': '14.49'}",CHEMBL107077,,CHEMBL107077,5.58,0,http://www.openphacts.org/units/Nanomolar,197398,=,1,1,=,,Ki,nM,,2651.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,2651.0
,137116,[],CHEMBL879871,In vitro binding affinity on cloned Dopamine transporter,B,,,BAO_0000192,BAO_0000357,single protein format,CN(C)Cc1ccccc1Sc1ccc(Cl)cc1N,,,CHEMBL1133614,J. Med. Chem.,2000.0,"{'bei': '23.70', 'le': '0.50', 'lle': '2.80', 'sei': '23.72'}",CHEMBL432394,,CHEMBL432394,6.94,0,http://www.openphacts.org/units/Nanomolar,197397,=,1,1,=,,Ki,nM,,115.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,115.0
,138603,[],CHEMBL670050,In vitro competitive binding versus [N-methyl-3H]WIN-35428 in murine kidney cells transfected with cDNA for human dopamine transporter (DAT),B,,,BAO_0000192,BAO_0000219,cell-based format,COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(/C=C/I)cc1)N2,,,CHEMBL1136726,J. Med. Chem.,2003.0,"{'bei': '21.97', 'le': '0.57', 'lle': '5.24', 'sei': '22.77'}",CHEMBL173427,,CHEMBL173427,8.73,0,http://www.openphacts.org/units/Nanomolar,342394,=,1,1,=,,Ki,nM,,1.88,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,1.88
,138608,[],CHEMBL670050,In vitro competitive binding versus [N-methyl-3H]WIN-35428 in murine kidney cells transfected with cDNA for human dopamine transporter (DAT),B,,,BAO_0000192,BAO_0000219,cell-based format,COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(I)cc1)N2,,,CHEMBL1136726,J. Med. Chem.,2003.0,"{'bei': '26.72', 'le': '0.71', 'lle': '7.23', 'sei': '25.88'}",CHEMBL353333,,CHEMBL353333,9.92,0,http://www.openphacts.org/units/Nanomolar,342390,=,1,1,=,,Ki,nM,,0.12,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,0.12
,140824,[],CHEMBL674125,Binding affinity towards dopamine transporter (DAT) by using [3H]WIN-35428 as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,C/C=C/c1ccc([C@H]2CC3CCC([C@H]2C(=O)OC)N3C)cc1,,,CHEMBL1136726,J. Med. Chem.,2003.0,"{'bei': '25.23', 'le': '0.47', 'lle': '4.09', 'sei': '25.57'}",CHEMBL173594,,CHEMBL173594,7.55,0,http://www.openphacts.org/units/Nanomolar,342396,=,1,1,=,,IC50,nM,,28.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,28.0
,146153,[],CHEMBL674997,Equilibrium dissociation constant (KD) for Competitive binding between [3H]WIN-35428 and the compound at human transporter-hDAT,B,,,BAO_0000034,BAO_0000357,single protein format,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,,,CHEMBL1130764,Bioorg. Med. Chem. Lett.,1998.0,"{'bei': '17.60', 'le': '0.34', 'lle': '1.00', 'sei': '25.61'}",CHEMBL41,FLUOXETINE,CHEMBL41,5.44,0,http://www.openphacts.org/units/Nanomolar,283395,=,1,1,=,,Kd,nM,,3600.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Kd,nM,UO_0000065,,3600.0
,146160,[],CHEMBL674997,Equilibrium dissociation constant (KD) for Competitive binding between [3H]WIN-35428 and the compound at human transporter-hDAT,B,,,BAO_0000034,BAO_0000357,single protein format,CC(C)(C)[C@H](O)[C@@H](CN)c1ccccc1.Cl,,,CHEMBL1130764,Bioorg. Med. Chem. Lett.,1998.0,"{'bei': '24.79', 'le': '0.47', 'lle': '3.00', 'sei': '11.11'}",CHEMBL555280,,CHEMBL1195748,5.14,0,http://www.openphacts.org/units/Nanomolar,283380,=,1,1,=,,Kd,nM,,7260.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Kd,nM,UO_0000065,,7260.0
,147361,[],CHEMBL674997,Equilibrium dissociation constant (KD) for Competitive binding between [3H]WIN-35428 and the compound at human transporter-hDAT,B,,,BAO_0000034,BAO_0000357,single protein format,COc1ccc([C@H](CN)[C@@H](O)C2CCCCC2)cc1.Cl,,,CHEMBL1130764,Bioorg. Med. Chem. Lett.,1998.0,"{'bei': '20.37', 'le': '0.39', 'lle': '2.69', 'sei': '9.67'}",CHEMBL540333,,CHEMBL1190192,5.37,0,http://www.openphacts.org/units/Nanomolar,283379,=,1,1,=,,Kd,nM,,4310.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Kd,nM,UO_0000065,,4310.0
,148575,[],CHEMBL674997,Equilibrium dissociation constant (KD) for Competitive binding between [3H]WIN-35428 and the compound at human transporter-hDAT,B,,,BAO_0000034,BAO_0000357,single protein format,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,,,CHEMBL1130764,Bioorg. Med. Chem. Lett.,1998.0,"{'bei': '13.71', 'le': '0.27', 'lle': '2.89', 'sei': '11.60'}",CHEMBL623,NEFAZODONE,CHEMBL623,6.44,0,http://www.openphacts.org/units/Nanomolar,283389,=,1,1,=,,Kd,nM,,360.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Kd,nM,UO_0000065,,360.0
,154564,[],CHEMBL674997,Equilibrium dissociation constant (KD) for Competitive binding between [3H]WIN-35428 and the compound at human transporter-hDAT,B,,,BAO_0000034,BAO_0000357,single protein format,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,,,CHEMBL1130764,Bioorg. Med. Chem. Lett.,1998.0,"{'bei': '23.37', 'le': '0.43', 'lle': '2.25', 'sei': '28.06'}",CHEMBL641,ATOMOXETINE,CHEMBL641,5.97,0,http://www.openphacts.org/units/Nanomolar,283387,=,1,1,=,,Kd,nM,,1080.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Kd,nM,UO_0000065,,1080.0
,157054,[],CHEMBL674997,Equilibrium dissociation constant (KD) for Competitive binding between [3H]WIN-35428 and the compound at human transporter-hDAT,B,,,BAO_0000034,BAO_0000357,single protein format,Cc1cc(C)c([C@H](O)[C@@H](CN(C)C)c2ccccc2)c(C)c1.Cl,,,CHEMBL1130764,Bioorg. Med. Chem. Lett.,1998.0,"{'bei': '14.71', 'le': '0.27', 'lle': '0.39', 'sei': '18.65'}",CHEMBL544633,,CHEMBL1193258,4.38,0,http://www.openphacts.org/units/Nanomolar,283391,=,1,1,=,,Kd,nM,,42000.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Kd,nM,UO_0000065,,42000.0
